City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor
Beirut,354.39,59.22,11.49,14168.68,2,19.79,33.7,1233.23
Beirut,22.93,8.84,1.71,2232.89,2,7.73,0.18,1304.0
Beirut,53.63,2.67,0.52,517.26,2,24.54,19.88,997.0
Beirut,122.32,31.98,6.2,6862.82,2,17.58,28.13,1106.18
Beirut,43.47,16.9,3.28,4274.22,2,4.28,6.43,1304.0
Beirut,106.34,21.72,4.21,5431.74,3,18.06,5.49,1289.0
Beirut,73.52,27.66,5.37,6996.81,3,6.04,0.12,1304.0
Beirut,146.09,61.35,11.9,13371.47,3,16.18,3.07,1123.39
Beirut,145.27,43.2,8.38,9763.72,3,16.37,2.44,1165.0
Beirut,62.1,32.15,6.24,7113.47,3,10.98,6.76,1140.35
Beirut,96.76,21.08,4.09,4828.71,2,15.39,2.2,1180.94
Beirut,55.04,16.51,3.2,3860.49,2,19.61,1.4,1205.11
Beirut,394.11,110.9,21.51,27732.32,2,15.77,3.68,1289.0
Beirut,107.26,4.72,0.92,1151.98,2,11.83,8.76,1257.25
Beirut,136.53,47.79,9.26,10913.75,3,13.13,13.88,1178.25
Beirut,56.92,6.08,1.18,1485.61,2,13.42,12.67,1259.45
Beirut,46.04,17.29,3.35,4374.38,2,6.17,6.68,1304.0
Beirut,48.3,17.14,3.33,4336.55,0,5.43,0.26,1304.0
Beirut,65.11,15.2,2.95,3743.45,2,13.84,0.33,1269.75
Beirut,160.96,8.93,1.73,2180.44,2,15.11,19.11,1258.4
Beirut,51.13,5.68,1.1,1347.61,2,18.14,17.22,1222.53
Beirut,93.77,44.77,8.68,10296.27,0,10.59,14.84,1186.79
Beirut,48.43,14.9,2.89,3581.34,2,15.23,15.05,1239.0
Beirut,79.25,25.3,4.91,5611.49,2,15.92,27.61,1142.32
Beirut,66.78,18.26,3.54,3979.42,2,19.65,25.59,1123.18
Beirut,89.19,3.04,0.59,680.53,2,11.64,10.81,1153.49
Beirut,88.78,28.86,5.6,6187.21,2,17.43,17.84,1105.0
Beirut,128.1,5.8,1.13,1422.04,2,17.63,18.69,1264.0
Beirut,153.26,54.26,10.53,13537.07,2,15.84,17.24,1286.0
Beirut,58.85,10.32,2.0,2574.63,2,18.61,10.99,1286.0
Beirut,52.7,2.81,0.55,711.5,2,9.44,35.7,1304.0
Beirut,66.63,0.0,0.0,0.0,2,19.07,22.54,
