OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Estimated_Installation_Efficiency,Unit_installation_price,Date_added,aoi,Roof_quality,solar_panels,Comment
1,c761728a-11e5-4a98-a20e-88110c4157f8,SouthAfrica,75.61,44.29,8.59,11949.59,Single-family residential,20.34,2.22,1390.88,158.04,,,Middelburg,,,
2,73f00724-cc91-4d84-80a1-c8c85adc7be8,SouthAfrica,45.25,21.95,4.26,7091.22,Single-family residential,20.79,3.48,1665.46,156.71,,,Middelburg,,,
3,1fd2887b-8f0a-4f1f-ab54-a4f6e4b49527,SouthAfrica,38.79,20.06,3.89,5122.37,Single-family residential,22.15,,1316.5,132.06,,,Middelburg,,,
4,3f397b7a-35e8-4504-a293-659d3f1b7839,SouthAfrica,34.17,17.4,3.38,5709.98,Single-family residential,25.52,,1691.44,167.13,,,Middelburg,,,
5,1125580a-42f2-4a83-877b-b1f47be89687,SouthAfrica,56.1,21.99,4.26,6605.8,Single-family residential,21.16,2.53,1550.26,117.76,,,Middelburg,,,
6,1216dba7-ced2-4bcd-8930-64e49ffcb0ee,SouthAfrica,52.93,21.92,4.25,7269.8,Single-family residential,22.78,3.52,1709.2,137.34,,,Middelburg,,,
7,e0fc7d36-1ade-4756-8dd4-aee6d12bf7a6,SouthAfrica,181.14,111.64,21.64,30379.03,Single-family residential,20,7.69,1404.12,167.71,,,Middelburg,,,
8,309d1e66-6e4f-4f93-9eb2-7b9354d669a9,SouthAfrica,398.72,277.73,53.88,65839.85,Single-family residential,23.92,4.01,1222,165.13,,,Middelburg,,,
9,68cf0668-1a09-4734-abd3-81ff0e3cfbab,SouthAfrica,306.39,133.44,25.89,42381.29,Single-family residential,24.7,3.38,1637.2,138.33,,,Middelburg,,,
10,2e43b983-3164-4444-8614-865a6a4477be,SouthAfrica,73.74,36.45,7.07,9135.89,Single-family residential,29.83,,1291.99,123.89,,,Middelburg,,,
11,9b10f958-75c0-480d-9eca-12c7796ab948,SouthAfrica,900.05,635.8,123.47,179237.42,Public,24.94,4.79,1451.69,199.14,,,Middelburg,,,
12,49ee029b-0b0e-4bb8-a285-fced76f2e989,SouthAfrica,252.06,147.11,28.54,41362.09,Single-family residential,28.28,4.5,1449.28,164.1,,,Middelburg,,,
13,9be62efb-346c-4682-9195-82661316a347,SouthAfrica,869.23,608.79,118.22,210911.45,Commercial,25.61,5.23,1784,242.64,,,Middelburg,,,
14,718ebe1b-693c-4944-b500-0ebd1cebb4d0,SouthAfrica,349.23,245.94,47.71,64091.62,Schools,22.28,7.69,1343.32,183.52,,,Middelburg,,,
15,24cebcf5-1070-4c1a-8a28-d787ae6ff977,SouthAfrica,65.38,35.72,6.93,9535.4,Industrial,22.23,2.71,1376,145.86,,,Middelburg,,,
16,885b5008-e767-4217-9b87-85787b9a2d14,SouthAfrica,114.79,59.65,11.57,17270.79,Industrial,27.62,2.4,1492.5,150.45,,,Middelburg,,,
17,843f1623-1a3c-4cb8-9e03-2d5819daad24,SouthAfrica,35.35,18.24,3.54,4326.78,Single-family residential,28.29,,1223,122.4,,,Middelburg,,,
18,306bf6cf-f3ba-405c-88d3-482c7958ad6d,SouthAfrica,377.59,267.25,51.85,83122.82,Industrial,19.53,4.08,1603.25,220.14,,,Middelburg,,,
19,cc298393-c83f-41b7-8103-503088022c70,SouthAfrica,47.25,25.98,5.04,7428.94,Single-family residential,23.39,,1473.74,157.23,,,Middelburg,,,
20,d48f0fc9-864a-4a8c-8c28-282288e12bba,SouthAfrica,56.87,32.1,6.22,9551.02,Single-family residential,19.75,,1535.37,167.95,,,Middelburg,,,
21,ec54487a-cfd6-4c22-9684-397f41979a30,SouthAfrica,36.39,18.59,3.61,5679.69,Single-family residential,19.84,2.42,1575.22,156.1,,,Middelburg,,,
22,908f18db-4b12-4aa7-aa85-3fe4a5175500,SouthAfrica,13.24,5.36,1.04,1645.49,Single-family residential,27.14,,1580,124.27,,,Middelburg,,,
23,a1f22c65-ee34-448e-b981-8effcecda22a,SouthAfrica,223.57,138.19,26.81,40668.21,Single-family residential,24.4,3.56,1517,181.91,,,Middelburg,,,
24,d313d660-b6af-4bbb-99d9-7bfd4b9c2a3a,SouthAfrica,42.65,21.44,4.16,6742.83,Single-family residential,25.57,,1621,158.09,,,Middelburg,,,
25,b673f745-5bc3-474f-9a98-24edb267f4f8,SouthAfrica,32.25,15.64,3.04,4165.71,Single-family residential,23.13,2.31,1371.23,129.18,,,Middelburg,,,
26,6f46da2b-ca3b-48a6-80b3-5975e6580710,SouthAfrica,38.88,14.69,2.85,4093.61,Single-family residential,19.99,2.67,1436.51,105.3,,,Middelburg,,,
