OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Unit_installation_price,Date_added,Comment,aoi,roof_quality,Estimated_installation_efficiency
"1",66a872cf-2809-419e-9160-2753ebeda9ad,StMaarten,37.5999984741211,9.32999992370605,1.80999994277954,2764.76000976562,Single-family residential,14.8599996566772,5.76000022888184,"1527",,,,Upper Princes Quarter,Good,73.5400009155273
"2",d86b5784-dc64-4e58-89d4-72ef84a329a0,StMaarten,147.990005493164,68.9300003051758,13.3699998855591,20418.259765625,Single-family residential,16.6200008392334,3.85999989509583,"1527",,,,Upper Princes Quarter,Good,137.970001220703
"3",4eeef961-4ea6-4330-a2c7-361d45f21e52,StMaarten,166.410003662109,101.360000610352,19.6599998474121,34196.19921875,Single-family residential,8.64000034332275,6.84000015258789,"1739",,,,Little Bay Area,Good,205.5
"4",16d0a6a9-d38e-40bb-a801-154805e06530,StMaarten,249.380004882812,130.699996948242,25.3600006103516,38502.91015625,Single-family residential,17.1200008392334,10.5600004196167,"1518.47",,,,Cul-de-Sac,Good,154.399993896484
"5",5b5f1e27-eed7-4899-b5d8-5e4c629298b1,StMaarten,310.839996337891,127.550003051758,24.7399997711182,42387.08984375,Single-family residential,0,6.75,"1713",,,,Cole Bay,Good,136.360000610352
"6",97208f04-d8de-4e88-8b0e-72f7193fab0a,StMaarten,201.679992675781,62.9199981689453,12.210000038147,19196.919921875,Single-family residential,21.3299999237061,6.13000011444092,"1572.6",,,,Little Bay Area,Good,95.1800003051758
"7",dad9b5e1-efa7-43b6-b69d-27d2eee381f6,StMaarten,138.389999389648,61.3899993896484,11.9200000762939,19907.349609375,Single-family residential,12.1899995803833,2.8199999332428,"1669.82",,,,Little Bay Area,Good,143.850006103516
"8",bc7a2fa9-5c94-41c9-bbe7-e0115dfbaa5d,StMaarten,239.160003662109,101.669998168945,19.7199993133545,32320.890625,Single-family residential,14.960000038147,,"1638.68",,,,Little Bay Area,Good,135.139999389648
"9",acd1887e-e3f5-4e57-b4b5-25361e8fe14b,StMaarten,127.650001525879,55.5999984741211,10.789999961853,18757.830078125,Single-family residential,0,2.73000001907349,"1739",,,,Philipsburg,Good,146.949996948242
"10",d3a17c58-5ec5-4f5c-b15f-28cbc42163ff,StMaarten,78.3399963378906,34.8600006103516,6.76000022888184,10191.490234375,Multi-family residential,26.8199996948242,8.71000003814697,"1507",,,,Upper Princes Quarter,Good,130.100006103516
"11",05fa29e5-76b8-44e2-a580-78ebdd1b6c7f,StMaarten,102.430000305176,55.5,10.7700004577637,17172.880859375,Single-family residential,14.1000003814697,3.23000001907349,"1595",,,,Upper Princes Quarter,Good,167.649993896484
"12",0f289dd7-47bb-4e8e-9263-822f12cc51d5,StMaarten,85.620002746582,31.5799999237061,6.13000011444092,9624.8603515625,Single-family residential,14.7200002670288,2.25999999046326,"1570.8",,,,Cole Bay,Medium,112.410003662109
"13",dac4565b-3bae-43eb-8b3c-b7e5ffc6eabb,StMaarten,25.8199996948242,9.90999984741211,1.91999995708466,2329.78002929688,Single-family residential,32.6300010681152,,"1212",,,,Cole Bay,Good,90.2200012207031
"14",b21a291e-8e3e-433e-a733-0732df38be0f,StMaarten,104.769996643066,54.3300018310547,10.539999961853,16671.109375,Single-family residential,11.4700002670288,9.89999961853027,"1581.82",,,,Upper Princes Quarter,Good,159.119995117188
"15",0342a54f-3b42-47fb-8dac-6a5853434cb5,StMaarten,46.8300018310547,12.8999996185303,2.5,3913.0400390625,Single-family residential,12.6300001144409,2.11999988555908,"1564",,,,Little Bay Area,Medium,83.5599975585938
"16",0eb5bad1-0e50-497f-88f1-1077a86a8f84,StMaarten,107.879997253418,26.6800003051758,5.17999982833862,8603,Single-family residential,9.72999954223633,3.83999991416931,"1662",,,,Lower Princes Quarter,Medium,79.75
"17",08b78ad0-a4a5-4666-9b84-d38200033df8,StMaarten,102.48999786377,38.8800010681152,7.53999996185303,12356.849609375,Single-family residential,24.0900001525879,2.51999998092651,"1638.41",,,,Lower Princes Quarter,Medium,120.569999694824
"18",0c0af7a7-9f4a-4262-b635-7514ad2f5ba2,StMaarten,71.5899963378906,33.7099990844727,6.53999996185303,10869.0595703125,Single-family residential,9.38000011444092,4.3899998664856,"1662",,,,Cul-de-Sac,Medium,151.820007324219
"19",09494ec3-1960-4fb9-9a9d-f0bff1514167,StMaarten,326.690002441406,84.3600006103516,16.3500003814697,25317.259765625,Single-family residential,26.5200004577637,8.42000007629395,"1548.52",,,,Cul-de-Sac,Medium,77.5
"20",5e1d7d6d-f18a-4ae2-b96e-a98e2707b765,StMaarten,31.6399993896484,13.9200000762939,2.70000004768372,4724.06005859375,Single-family residential,0,,"1749",,,,Upper Princes Quarter,Medium,149.309997558594
"21",dc407b65-f791-4d6e-8862-6a13c6a28496,StMaarten,50.6699981689453,20.0900001525879,3.90000009536743,6817.4599609375,Single-family residential,0,,"1749",,,,Upper Princes Quarter,Medium,134.550003051758
"22",b52d93a2-c463-450a-8b6f-76752cf78346,StMaarten,44.2700004577637,14.9399995803833,2.90000009536743,5069.43994140625,Single-family residential,0,4.11999988555908,"1749",,,,Upper Princes Quarter,Medium,114.51000213623
"23",918e6177-73c5-4026-bd13-21395f1ecc05,StMaarten,80.9300003051758,38.0200004577637,7.38000011444092,11263.9404296875,Single-family residential,11.4700002670288,5.26999998092651,"1527",,,,Upper Princes Quarter,Medium,139.190002441406
"24",cb50a2f8-688b-48ce-bf56-90016aedd1ef,StMaarten,74.3600006103516,36.9500007629395,7.17000007629395,12538.5,Single-family residential,0,,"1749",,,,Upper Princes Quarter,Medium,168.610000610352
"25",471928a1-b30a-44a6-91fb-55a61df9f76b,StMaarten,81.0800018310547,11.0100002288818,2.14000010490417,3406.28002929688,Single-family residential,14.4799995422363,2.23000001907349,"1595",,,,Upper Princes Quarter,Medium,42.0099983215332
"26",68f36d65-1071-482e-b615-24717186ca37,StMaarten,78.9199981689453,36.6500015258789,7.1100001335144,12434.8603515625,Single-family residential,9.43000030517578,3.75999999046326,"1749",,,,Upper Princes Quarter,Medium,157.550003051758
