OBJECTID,uuid,City,Surface_area,Potential_installable_area,Peak_installable_capacity,Energy_potential_per_year,Assumed_building_type,Estimated_tilt,Estimated_building_height,Estimated_capacity_factor,Unit_installation_price,Date_added,Comment,aoi
"1",fd687067-72b7-49a8-97ff-6867f60e0c84,StLucia,45.1599998474121,7.05999994277954,1.37000000476837,2067.36010742188,Single-family residential,28.9899997711182,5.4,"1509.16",,2023-01-03T13:15:51.000,,Soufriere
"2",a72b3ada-c9b4-4b5e-9122-db67b48e63fd,StLucia,147.580001831055,80.2099990844727,15.5600004196167,23202.279296875,Commercial,18.1100006103516,19.28,"1491.06",,2023-01-03T13:15:51.000,,Soufriere
"3",0f37c775-4305-483b-80e5-f7769e7211f1,StLucia,773.099975585938,468.410003662109,90.870002746582,136320.703125,Schools,19.3500003814697,17.2,"1500.14",,2023-01-03T13:15:51.000,,Soufriere
"4",8f35d321-21a2-4506-8997-ea7abb8183b0,StLucia,220.839996337891,138.649993896484,26.9200000762939,40028,Public health facilities,17.7600002288818,4.35,"1486.67",,2023-01-03T13:15:51.000,,Soufriere
"5",35a198f0-bec8-4c2c-b155-59c47995cebf,StLucia,233.309997558594,149.490005493164,29,39163.51953125,Commercial,24.6900005340576,,"1350.4",,2023-01-03T13:15:51.000,,Soufriere
"6",9e7e3884-b0ec-493b-b1bd-723d7f278b62,StLucia,82.4899978637695,30.8700008392334,5.98999977111816,9048.75,Commercial,10.9399995803833,4.35,"1511.13",,2023-01-03T13:15:51.000,,Soufriere
"7",c462064f-0439-473d-8b94-d5cd0f478733,StLucia,278,194.639999389648,37.7599983215332,56527.75,Industrial,16.5200004577637,6.51,"1497.02",,2023-01-03T13:15:51.000,,Soufriere
"8",a9f66936-c59d-4b9b-af19-c1a443b83b7a,StLucia,289.809997558594,205.360000610352,39.8800010681152,58427.2109375,Commercial,14.8299999237061,2.11,"1465.07",,2023-01-03T13:15:51.000,,Soufriere
"9",81158632-4370-44b3-805b-dcc89ff85480,StLucia,71.370002746582,38.4599990844727,7.46000003814697,10654.7001953125,Hotels,16.1800003051758,,"1428.0",,2023-01-03T13:15:51.000,,Soufriere
"10",19b9f820-6ca8-4f0c-9793-71dcc2f5f0b5,StLucia,183.360000610352,117.949996948242,22.8799991607666,32503.55078125,Multi-family residential,22.5,12.66,"1420.41",,2023-01-03T13:15:51.000,,Soufriere
"11",708dfec2-8b8b-427f-8cc0-0d18ac1bf2c8,StLucia,314.929992675781,188.710006713867,36.6100006103516,50045.80859375,Multi-family residential,22.5900001525879,12.02,"1366.99",,2023-01-03T13:15:51.000,,Soufriere
"12",4a7aaaf4-74fc-4ce3-88b5-3431e1cf6a1d,StLucia,43.4000015258789,5.78999996185303,1.12000000476837,1567.22998046875,Single-family residential,27.5499992370605,18.29,"1395.0",,2023-01-03T13:15:51.000,,Soufriere
"13",54efe642-3d3e-4d37-83a9-735647e6ecc9,StLucia,106.290000915527,42.689998626709,8.27999973297119,13384.3603515625,Single-family residential,27.4300003051758,5.19,"1616.09",,2023-01-03T13:15:51.000,,Soufriere
"14",0b9a51de-e4ba-4732-8338-eceb72acf5bc,StLucia,22.3600006103516,8.53999996185303,1.6599999666214,2390.0400390625,Single-family residential,27.2900009155273,7.94,"1443.0",,2023-01-03T13:15:51.000,,Soufriere
"15",9c6211a3-97b1-4612-aa06-b223f4b1632b,StLucia,49.4900016784668,18.2399997711182,3.53999996185303,5107.27978515625,Single-family residential,21.2999992370605,7.57,"1443.0",,2023-01-03T13:15:51.000,,Soufriere
"16",b7296662-4ab0-4c37-8b1d-e7eb1114076c,StLucia,113.26000213623,27.8400001525879,5.40000009536743,8350.4599609375,Commercial,22.4200000762939,23.88,"1546.0",,2023-01-03T13:15:51.000,,Soufriere
